WardName,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11
Gallah,0.39331187706415177,0.7595632771617178,0.6681623598353519,0.36625140009756607,0.27485048277120017,0.6411018828687662,0.5063755181078119,0.4454415732235679,0.6896091732886119,0.42740125524584416,0.517206879966459
Garam,0.6512601005132319,0.19211888568818444,0.47209406155268885,0.47985392970843627,0.7598291055729407,0.30068789074789315,0.44107763863661753,0.6277277558796205,0.3216336126629222,0.51345697534309,0.47597399563056253
Garatu,0.3776651824545687,0.3515957024145996,0.5046586745974262,0.31656496897817454,0.4696279411610011,0.443558461121032,0.3486086179491143,0.45065059940433194,0.4332709460443526,0.40991712375340256,0.4106118217878003
Gawu,0.4204057302402919,0.04551942354310154,0.3578562072067961,0.4059892146426234,0.7183259983063179,0.34343969160912763,0.29063812280867224,0.49886264525113533,0.24893844078634175,0.4892516348526897,0.38192271092470975
Gazhe 1,0.5090334614189113,0.37228002126427656,0.5451087745675366,0.4361523214877764,0.6089810747910364,0.4722276346364017,0.43915526805698807,0.5543744369258281,0.46320547682273827,0.5057870103050716,0.4906305480276565
Gazhe 2,0.5538631584414784,0.3817441700393709,0.5514276112215313,0.43759615938239227,0.6072796005645527,0.43516061216244506,0.45773449595441384,0.5708567900758541,0.45611079780778246,0.4933454573697967,0.4945118853019618
Gbadafu,0.5188365275026943,0.36521165029487246,0.6201795828790707,0.37997136686204136,0.6349392994462395,0.4813144222384177,0.42133984821986936,0.5913184699426681,0.48890188513745364,0.4987416961822329,0.500075474870556
Gbakogi,0.37945833699568343,0.4516934775307666,0.5652857374108725,0.5209176779993825,0.6345099378794883,0.7067450784145715,0.4506898308419442,0.5264180040953481,0.5745747644520702,0.6207242314311475,0.5431017077051274
Gbangban,0.45073411510128325,0.2656182907167969,0.46359231860155004,0.5393945550882745,0.7373685829730277,0.5522527585885413,0.41858232030211817,0.5505650055586203,0.4271544559689627,0.6096719655499477,0.5014934368449122
Gbara,0.5779338212292107,0.5324256894078088,0.5832892794216437,0.6977533672745668,0.7486169572884016,0.7031088254669997,0.6027042926371954,0.6366133526464187,0.6062745980988175,0.7164930500099894,0.6405213233481052
Gbeswa,0.37616419053012995,0.6868374070944544,0.6329585019642364,0.4493140362849847,0.3954351311547667,0.7061083477190911,0.5041052113031896,0.46818594121637763,0.6753014189259273,0.5169525050529474,0.5411362691246105
Genu,0.44193336365804037,0.6596051907190934,0.6433433277179377,0.41156417521176697,0.39530231221061124,0.6129741392716643,0.5043675765296336,0.49352633452886313,0.6386408859028985,0.4732802088980142,0.5274537514648523
Gijiwa/Kato,0.46419559184815234,0.2701128267966878,0.41112430118594123,0.24828152144739915,0.38929299583665256,0.19521023078518807,0.32752998003074646,0.42153762962358204,0.29214911958927237,0.27759491602307995,0.3297029113166702
Gini,0.4206712800029916,0.2726808687793054,0.4148367343734509,0.5489915446325044,0.6911474102266499,0.5431569990029638,0.4141145644716005,0.5088851415343641,0.41022486738524,0.594431984620706,0.4819141395029777
Gogata,0.3458908445984148,0.4049291631535543,0.5170780878613963,0.3746258180397881,0.4867747427476302,0.5458130613027696,0.3751486085972524,0.4499145584024804,0.48927343743924007,0.46907120736339597,0.4458519529505922
Gonagi,0.4953184150400006,0.3904466053339485,0.5146252995520133,0.5432178774627769,0.6673965716808419,0.5625247619747897,0.47632763261224204,0.5591134287576186,0.4891988889535838,0.5910464037061361,0.5289215885073951
Gulbiboka,0.493660269709148,0.6222246046802054,0.6289478148023595,0.44907652991905433,0.4557997400412085,0.584364075012266,0.5216538014361359,0.526135941517572,0.6118454981649436,0.4964134483241763,0.539012172360707
Gulum/Vatsa,0.2995452629421619,0.334205812358695,0.44132304531586547,0.5399559381359327,0.647073171093103,0.6817337205096362,0.3912356711455965,0.4626471597837101,0.4857541927280655,0.622920943246224,0.49063949172589905
Guni,0.6256032023284118,0.4758559688101374,0.5429467884174756,0.5919817954089657,0.6590726150163039,0.5093253814980294,0.564480322182505,0.6092075352540638,0.5093760462418808,0.586793263974433,0.5674642919132207
Gunna Central,0.2629435169800955,0.38314423801744724,0.2089791193779728,0.5480666724327657,0.3739015537932913,0.49410227483064306,0.3980514758101028,0.2819413967171199,0.36207521074202104,0.47202350035223334,0.37852289590536925
Gunna South,0.2908004929446999,0.3482539816229873,0.44928043196293577,0.4403436058910746,0.5413700562310231,0.5988235449093104,0.3597993601529206,0.4271503270462196,0.4654526528317445,0.526845735677136,0.44481201892700517
Gupa,0.3151192705565021,0.3015913016759543,0.5049241618272424,0.6068622485779716,0.8101951087292596,0.796667139848712,0.40785760693680934,0.543412847037668,0.534394201117303,0.7379081657186477,0.555893205202607
Gurmana,0.36209722064380306,0.249770907863767,0.41419104898493925,0.35054586375898694,0.5149660048801592,0.4026396921001231,0.32080466408885233,0.43041809150296717,0.3555338829829431,0.42271718691308974,0.3823684563719631
Gussoro/Zumba,0.44989864561272475,0.3585278791395924,0.40004812651033905,0.47006772757918536,0.511587974949932,0.4202172084767996,0.4261647507771675,0.45384491569099855,0.392931071375577,0.46729097033530564,0.43505792704476215
Guzan,0.43245801715961424,0.4788561885512894,0.5135273238895619,0.6540770170496966,0.688748152387969,0.7351463237796442,0.5217970742535334,0.5449111644790484,0.5758432787401652,0.69265716440577,0.5838021704696292
Gwam,0.4198345270649878,0.3469556049874185,0.39266545849525036,0.6373277376889435,0.6830375911967752,0.6101586691192059,0.46803928991378324,0.4985125255856711,0.44992657753395826,0.6435079993349749,0.5149965980920969
Gwarijiko,0.3717422311058502,0.370440522150708,0.45113376361648944,0.4376923479703275,0.518385589436109,0.5170838804809668,0.39329170040896194,0.4470871947194828,0.4462193887493881,0.4910539392958011,0.4444130557934085
Hashimi A,0.41321121917768594,0.00404603742928425,0.3294372647955989,0.4172572566069702,0.7426484839732849,0.3334833022248832,0.27817150440464683,0.49509898931552326,0.22232220148325546,0.4977963476017127,0.37334726070128454
Hashimi B,0.41835172562839984,0.009186543879998135,0.31274434987189326,0.4172572566069702,0.7208150625988653,0.31164988085046363,0.28159850870512276,0.4839703793663861,0.21119359153411832,0.48324073335209966,0.36500080323943174
Ibbi,0.49323774055410025,0.6379784844275104,0.5339543631093613,0.6887359793724439,0.5847118580542948,0.729452601927705,0.6066507347846849,0.5373013205725855,0.6337951498215255,0.6676334797848146,0.6113451712409026
Ibelu,0.4748960610696996,0.41990851357055653,0.6191857794842717,0.28058385393318397,0.47986111984689905,0.42487357234775597,0.3917961428578134,0.5246476534669567,0.48798928846752804,0.395106182042613,0.4498848167087278
Igwama,0.5015981029990118,0.5137366269023361,0.5478093487678618,0.559393216947526,0.5934659388130517,0.605604462716376,0.5249093156162913,0.5476244635266417,0.5557168127955247,0.5861545394923179,0.5536012828576938
Ijagbari,0.5556497249053609,0.10188371711138938,0.4577128918719431,0.5342658944512033,0.890095069211757,0.4363290614177855,0.39726644548931783,0.634485895329687,0.3319752234670393,0.6202300083602487,0.4959893931615732
Ijakoro,0.5257812285073085,0.057847365633386355,0.4555570776490669,0.5161033185126714,0.9138130305283519,0.4458791676544298,0.3665773042177887,0.6317171122282425,0.31976120364562766,0.6252651722318178,0.48583019808086914
Iku,0.5635928623535943,0.10538702140606242,0.4158482118986271,0.4815448525932176,0.7920060430857823,0.3338002021382504,0.38350824545095813,0.5904823724460012,0.2850118118143133,0.5357836992724168,0.4486965322459223
Iku 1/Iku South I,0.5008405077698849,0.049877182532148547,0.3382097880623701,0.4632318827113666,0.7515644882415882,0.30060116300385187,0.33798319100446667,0.5302049280246144,0.22956271119945684,0.5051325113189356,0.40072083538686837
Iku 2/Iku South II,0.4530932650560305,0.03887777730964247,0.27726081063381214,0.4236339426550343,0.662016975979204,0.24780148823281595,0.30520166167356905,0.4641236838896822,0.18798002539209016,0.4444841356223514,0.3504473766444232
Inkwai,0.4114781846357023,0.4236688722196712,0.5212256075004228,0.33529041434136003,0.4328471496221117,0.4450378372060806,0.39014582373224455,0.45518364725274557,0.46331077230872486,0.4043918003898508,0.42825801092089144
Ishau,0.5251355400499575,0.2080181202023681,0.39881439310574784,0.6828825801524105,0.8736788530557903,0.5565614332082008,0.4720120801349121,0.5992095954038319,0.3877979821721056,0.7043742888054672,0.5408484866290793
Izom,0.4776430632039409,0.1840546893611668,0.39440767512820774,0.5760753902587943,0.7864283760258353,0.4928400021830611,0.41259104760796733,0.5528263714526612,0.3571007888908119,0.6184479228225636,0.485241532693501
Jaagi,0.48816753738244084,0.4152070589947279,0.5259257094926675,0.6849096353622497,0.7956282858601893,0.7226678074724763,0.5294280772464728,0.6032405109117659,0.5546001919866238,0.7344019095649718,0.6054176724274586
Jamaare,0.5517838454040482,0.6660515430037541,0.7315371403539866,0.21783538840780237,0.28332098575803494,0.3975886833577408,0.4785569256052016,0.5222139905053566,0.5983924555718272,0.29958168584119266,0.4746862643808945
Jebba,0.5085573282338954,0.4620146003796418,0.4968626295059898,0.6588641031322888,0.6937121322586368,0.6471694044043832,0.5431453439152754,0.5663773633328407,0.5353488780966716,0.6665818799317696,0.5778633663191393
Jere,0.3619652845160369,0.2060920941472511,0.3846528686875551,0.46016507245901184,0.6387258469993158,0.48285265663053006,0.34274081704076664,0.4617813334009693,0.3578658731551121,0.527247858696286,0.4224089705732835
Jima,0.4966137534901886,0.3696972810995556,0.5293797778726852,0.4024121605462951,0.5620946573194248,0.43517818492879173,0.4229077317120131,0.5293627295607662,0.44475174796701084,0.4665616675981705,0.46589596920949017
K/Takuma,0.3408524020915512,0.45931137089189045,0.44395942400731225,0.6935545958327749,0.6782026489481967,0.7966616177485359,0.49790612293873887,0.4876714916823534,0.5666441375492463,0.7228062875098358,0.5687570099200436
Kabe,0.4021133037146369,0.7124237232909602,0.6465421805819296,0.4967370909444217,0.4308555482353911,0.7411659678117144,0.5370913726500063,0.4931703441773192,0.7000439572282012,0.5562528689971757,0.5716396357631757
Kabo,0.5389548980393178,0.17318224525746326,0.400596815464639,0.595203349383864,0.8226179195910397,0.45684526680918514,0.4357801642268817,0.5873898776983322,0.3435414425104291,0.6248888452613629,0.4979000824242515
Kaboji,0.5925630042571901,0.5643951499064571,0.5949475883350939,0.5213455795484389,0.5518980179770756,0.5237301636263426,0.5594345779040287,0.5798028701897865,0.5610243006226312,0.532324587050619,0.5581465839417663
Kabulla,0.494033545027884,0.2919604053668683,0.4923825882562821,0.6877708525779186,0.8881930354673324,0.6861198958063167,0.4912549343242236,0.6248697229171661,0.49015429647648906,0.7540279279505225,0.5900767204171004
Kafin Koro,0.5016606805198442,0.14516298724317664,0.3869068688280375,0.5299821586675559,0.7717260402524168,0.4152283469757492,0.39226860881019227,0.5534311965334329,0.31576606768232107,0.5723121819652407,0.4584445137477967
Kakihum,0.45984821650080154,0.5788844875104477,0.5718441299607371,0.5489672111652389,0.5419268536155283,0.6609631246251745,0.5292333050588294,0.5245397333590223,0.603897247365453,0.5839523964686473,0.560405670562988
